"trial"	"deck"	"gain"	"loss"	"subjID"
1	1	100	0	182
2	2	100	0	182
3	3	50	0	182
4	3	50	0	182
5	4	50	0	182
6	4	50	0	182
7	1	100	0	182
8	1	100	-150	182
9	2	100	0	182
10	2	100	0	182
11	2	100	0	182
12	2	100	0	182
13	2	100	0	182
14	2	100	0	182
15	2	100	0	182
16	2	100	-1250	182
17	2	100	0	182
18	2	100	0	182
19	2	100	0	182
20	2	100	0	182
21	3	50	-50	182
22	4	50	0	182
23	4	50	0	182
24	4	50	0	182
25	4	50	0	182
26	4	50	0	182
27	4	50	0	182
28	4	50	0	182
29	4	50	-250	182
30	1	100	0	182
31	1	100	-300	182
32	3	50	0	182
33	3	50	-50	182
34	3	50	0	182
35	3	50	-50	182
36	3	50	0	182
37	3	50	-50	182
38	3	50	-50	182
39	3	50	0	182
40	1	100	0	182
41	3	50	-25	182
42	3	50	-75	182
43	3	50	0	182
44	3	50	0	182
45	3	50	0	182
46	3	50	-25	182
47	3	50	-75	182
48	3	50	0	182
49	3	50	-50	182
50	3	50	0	182
51	3	50	0	182
52	3	50	0	182
53	3	50	-50	182
54	3	50	-25	182
55	3	50	-50	182
56	3	50	0	182
57	1	100	-200	182
58	1	100	0	182
59	1	100	-250	182
60	1	100	-350	182
61	2	100	-1250	182
62	2	100	0	182
63	2	100	0	182
64	2	100	0	182
65	2	100	0	182
66	3	50	0	182
67	3	50	-75	182
68	3	50	-50	182
69	3	50	0	182
70	3	50	0	182
71	3	50	0	182
72	3	50	-25	182
73	1	100	0	182
74	3	50	-25	182
75	3	50	0	182
76	1	100	-350	182
77	1	100	0	182
78	3	50	-75	182
79	3	50	0	182
80	3	50	-50	182
81	3	50	-75	182
82	1	100	-250	182
83	1	100	-200	182
84	1	100	0	182
85	3	50	0	182
86	3	50	0	182
87	3	50	-50	182
88	3	50	0	182
89	1	100	-300	182
90	1	100	-150	182
91	3	50	-50	182
92	3	50	0	182
93	3	50	-50	182
94	3	50	0	182
95	3	50	-50	182
96	3	50	-50	182
97	3	50	0	182
98	3	50	-25	182
99	3	50	-75	182
100	3	50	0	182
1	2	100	0	183
2	2	100	0	183
3	3	50	0	183
4	2	100	0	183
5	3	50	0	183
6	2	100	0	183
7	2	100	0	183
8	4	50	0	183
9	2	100	0	183
10	2	100	0	183
11	1	100	0	183
12	1	100	0	183
13	1	100	-150	183
14	2	100	0	183
15	2	100	-1250	183
16	3	50	-50	183
17	1	100	0	183
18	1	100	-300	183
19	4	50	0	183
20	4	50	0	183
21	4	50	0	183
22	1	100	0	183
23	1	100	-200	183
24	4	50	0	183
25	2	100	0	183
26	2	100	0	183
27	2	100	0	183
28	4	50	0	183
29	1	100	0	183
30	4	50	0	183
31	4	50	0	183
32	3	50	0	183
33	3	50	-50	183
34	3	50	0	183
35	1	100	-250	183
36	1	100	-350	183
37	4	50	0	183
38	4	50	-250	183
39	1	100	0	183
40	1	100	-350	183
41	4	50	0	183
42	1	100	0	183
43	1	100	-250	183
44	3	50	-50	183
45	3	50	0	183
46	4	50	0	183
47	4	50	0	183
48	4	50	0	183
49	4	50	0	183
50	4	50	0	183
51	2	100	0	183
52	2	100	-1250	183
53	2	100	0	183
54	1	100	-200	183
55	4	50	0	183
56	3	50	-50	183
57	3	50	-50	183
58	1	100	0	183
59	3	50	0	183
60	4	50	0	183
61	3	50	-25	183
62	3	50	-75	183
63	1	100	-300	183
64	1	100	-150	183
65	1	100	0	183
66	4	50	0	183
67	1	100	0	183
68	4	50	-250	183
69	4	50	0	183
70	4	50	0	183
71	4	50	0	183
72	4	50	0	183
73	4	50	0	183
74	3	50	0	183
75	3	50	0	183
76	3	50	0	183
77	4	50	0	183
78	4	50	0	183
79	3	50	-25	183
80	3	50	-75	183
81	3	50	0	183
82	3	50	-50	183
83	3	50	0	183
84	1	100	0	183
85	3	50	0	183
86	3	50	0	183
87	3	50	-50	183
88	3	50	-25	183
89	3	50	-50	183
90	3	50	0	183
91	3	50	0	183
92	3	50	-75	183
93	3	50	-50	183
94	3	50	0	183
95	3	50	0	183
96	3	50	0	183
97	3	50	-25	183
98	3	50	-25	183
99	3	50	0	183
100	3	50	-75	183
1	1	100	0	184
2	1	100	0	184
3	4	50	0	184
4	2	100	0	184
5	3	50	0	184
6	2	100	0	184
7	2	100	0	184
8	4	50	0	184
9	2	100	0	184
10	2	100	0	184
11	1	100	-150	184
12	2	100	0	184
13	2	100	0	184
14	2	100	0	184
15	2	100	-1250	184
16	4	50	0	184
17	1	100	0	184
18	1	100	-300	184
19	2	100	0	184
20	4	50	0	184
21	4	50	0	184
22	1	100	0	184
23	1	100	-200	184
24	4	50	0	184
25	4	50	0	184
26	3	50	0	184
27	3	50	-50	184
28	3	50	0	184
29	4	50	0	184
30	1	100	0	184
31	2	100	0	184
32	4	50	0	184
33	4	50	-250	184
34	4	50	0	184
35	3	50	-50	184
36	1	100	-250	184
37	1	100	-350	184
38	3	50	0	184
39	3	50	-50	184
40	3	50	0	184
41	3	50	-50	184
42	3	50	-50	184
43	3	50	0	184
44	3	50	-25	184
45	3	50	-75	184
46	3	50	0	184
47	4	50	0	184
48	3	50	0	184
49	1	100	0	184
50	3	50	0	184
51	1	100	-350	184
52	1	100	0	184
53	1	100	-250	184
54	1	100	-200	184
55	1	100	0	184
56	1	100	-300	184
57	3	50	-25	184
58	4	50	0	184
59	2	100	0	184
60	2	100	0	184
61	3	50	-75	184
62	3	50	0	184
63	3	50	-50	184
64	3	50	0	184
65	2	100	-1250	184
66	2	100	0	184
67	2	100	0	184
68	2	100	0	184
69	2	100	0	184
70	2	100	0	184
71	3	50	0	184
72	3	50	0	184
73	3	50	-50	184
74	3	50	-25	184
75	4	50	0	184
76	4	50	0	184
77	3	50	-50	184
78	3	50	0	184
79	3	50	0	184
80	3	50	-75	184
81	4	50	0	184
82	4	50	0	184
83	4	50	0	184
84	4	50	0	184
85	4	50	-250	184
86	4	50	0	184
87	4	50	0	184
88	4	50	0	184
89	4	50	0	184
90	3	50	-50	184
91	3	50	0	184
92	3	50	0	184
93	3	50	0	184
94	3	50	-25	184
95	3	50	-25	184
96	3	50	0	184
97	3	50	-75	184
98	3	50	0	184
99	3	50	-50	184
100	3	50	-75	184
1	1	100	0	185
2	3	50	0	185
3	2	100	0	185
4	4	50	0	185
5	1	100	0	185
6	1	100	-150	185
7	2	100	0	185
8	2	100	0	185
9	2	100	0	185
10	2	100	0	185
11	2	100	0	185
12	2	100	0	185
13	2	100	0	185
14	2	100	-1250	185
15	4	50	0	185
16	2	100	0	185
17	2	100	0	185
18	2	100	0	185
19	2	100	0	185
20	2	100	-1250	185
21	2	100	0	185
22	4	50	0	185
23	1	100	0	185
24	1	100	-300	185
25	3	50	0	185
26	3	50	-50	185
27	3	50	0	185
28	3	50	-50	185
29	3	50	0	185
30	3	50	-50	185
31	3	50	0	185
32	3	50	-50	185
33	3	50	-50	185
34	3	50	0	185
35	3	50	-25	185
36	3	50	-75	185
37	2	100	0	185
38	1	100	0	185
39	4	50	0	185
40	3	50	0	185
41	3	50	0	185
42	3	50	0	185
43	2	100	0	185
44	1	100	-200	185
45	1	100	0	185
46	4	50	0	185
47	4	50	0	185
48	4	50	0	185
49	4	50	0	185
50	4	50	0	185
51	4	50	-250	185
52	3	50	-25	185
53	3	50	-75	185
54	2	100	0	185
55	1	100	-250	185
56	2	100	0	185
57	2	100	0	185
58	2	100	-1250	185
59	2	100	0	185
60	2	100	0	185
61	1	100	-350	185
62	3	50	0	185
63	3	50	-50	185
64	3	50	0	185
65	3	50	0	185
66	3	50	0	185
67	4	50	0	185
68	4	50	0	185
69	3	50	-50	185
70	4	50	0	185
71	4	50	0	185
72	4	50	0	185
73	4	50	0	185
74	4	50	0	185
75	4	50	0	185
76	4	50	0	185
77	4	50	-250	185
78	4	50	0	185
79	4	50	0	185
80	4	50	0	185
81	1	100	0	185
82	2	100	0	185
83	3	50	-25	185
84	4	50	0	185
85	1	100	-350	185
86	4	50	0	185
87	3	50	-50	185
88	4	50	0	185
89	3	50	0	185
90	4	50	0	185
91	4	50	0	185
92	3	50	0	185
93	4	50	-250	185
94	4	50	0	185
95	4	50	0	185
96	4	50	0	185
97	4	50	0	185
98	3	50	-75	185
99	1	100	0	185
100	4	50	0	185
1	3	50	0	186
2	2	100	0	186
3	2	100	0	186
4	2	100	0	186
5	2	100	0	186
6	2	100	0	186
7	3	50	0	186
8	3	50	-50	186
9	2	100	0	186
10	2	100	0	186
11	2	100	0	186
12	2	100	-1250	186
13	4	50	0	186
14	4	50	0	186
15	2	100	0	186
16	2	100	0	186
17	2	100	0	186
18	1	100	0	186
19	1	100	0	186
20	1	100	-150	186
21	3	50	0	186
22	4	50	0	186
23	2	100	0	186
24	2	100	-1250	186
25	2	100	0	186
26	2	100	0	186
27	3	50	-50	186
28	1	100	0	186
29	1	100	-300	186
30	4	50	0	186
31	3	50	0	186
32	4	50	0	186
33	2	100	0	186
34	1	100	0	186
35	4	50	0	186
36	3	50	-50	186
37	4	50	0	186
38	4	50	0	186
39	3	50	0	186
40	2	100	0	186
41	3	50	-50	186
42	4	50	0	186
43	4	50	-250	186
